Marketing Channel,Purchase Platform,Product_Name,Region,AccountCreationMethod,Currency,CountryCode,Order_id,ProductID,User_id,Price_numeric,Price_,Purchase Ts,Created On,Ship Ts,Delivery Ts,Refund Ts,Time_To_ship
Direct,Desktop,Sports - Resistance Bands,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,,ORD00038781,PROD7751,USER0000135,36.47,USD 36.47,2020-02-22 00:00:00,2020-01-04 00:00:00,2020-02-25 00:00:00,2020-02-27 00:00:00,,3.0
Direct,Desktop,Food - Protein Bar Box,Asia Pacific,Google OAuth,NZD,NZ,ORD00014698,PROD5712,USER0000940,38.96,NZD 38.96,2019-05-16 00:00:00,2019-01-01 00:00:00,2019-05-18 00:00:00,05/23/2019,,2.0
Email Marketing,Desktop,  Food - Snack Mix  ,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00056746,PROD3172,USER0000016,25.11,USD 25.11,2020-12-13 00:00:00,2020-12-08 00:00:00,2020-12-16 00:00:00,20-12-2020,,3.0
Organic Search,Mobile Web,Toys - Action Figure,Europe,Google OAuth,EUR,FR,ORD00038973,PROD5462,USER0000003,45.25,EUR 45.25,2020-02-25 00:00:00,2019-11-04 00:00:00,,,,
Social Media - Instagram,Desktop,Electronics - Wireless Earbuds,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00091304,PROD7125,USER0000012,129.42,USD 129.42,2024-08-26 00:00:00,2024-08-05 00:00:00,2024-08-29 00:00:00,2024-09-03 00:00:00,,3.0
Direct,Desktop,Beauty - Body Lotion,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00043919,PROD7607,USER0000004,48.57,USD 48.57,2020-05-07 00:00:00,2020-04-11 00:00:00,2020-05-08 00:00:00,2020-05-15 00:00:00,,1.0
Organic Search,Desktop,Home - Storage Basket,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00010366,PROD5985,USER0000007,61.92,USD 61.92,2019-04-04 00:00:00,2019-01-18 00:00:00,,,,
Organic Search,Desktop,Fashion - Backpack,Europe,Apple ID,EUR,FR,ORD00054862,PROD3087,USER0000002,33.16,EUR 33.16,11/08/2020,2020-10-30 00:00:00,2020-11-10 00:00:00,2020-11-14 00:00:00,,2.0
Direct,Desktop,Sports - Water Bottle,Europe,Phone,EUR,IT,ORD00065478,PROD6303,USER0000004,60.66,60.66,2021-06-23 00:00:00,2021-02-21 00:00:00,06/24/2021,2021-07-02 00:00:00,,1.0
Social Media - Instagram,Desktop,Sports - Dumbbells,Europe,Google OAuth,EUR,DE,ORD00019697,PROD5949,USER0000002,55.54,EUR 55.54,2019-07-06 00:00:00,2019-07-03 00:00:00,2019-07-11 00:00:00,2019-07-17 00:00:00,,5.0
Organic Search,Mobile Web,Home - Picture Frame,Europe,Google OAuth,EUR,DE,ORD00000537,PROD1475,USER0000697,45.56,EUR 45.56,2019-01-05,01/01/2019,,,,
Direct,Desktop,Beauty - Perfume,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00050098,PROD7917,USER0000004,73.6,USD 73.60,2020-08-16 00:00:00,2020-08-12 00:00:00,,,,
Direct,Mobile Web,Fashion - Hat,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,SGD,SG,ORD00031318,PROD1274,USER0000010,63.72,SGD 63.72,2019-11-16 00:00:00,2019-11-16 00:00:00,2019-11-18 00:00:00,2019-11-27 00:00:00,,2.0
Email Marketing,Mobile Web,Fashion - Sneakers,South America,Google OAuth,MXN,MX,ORD00007065,PROD3980,USER0000004,637.64,MXN 637.64,2019-03-04 00:00:00,01/29/2019,2019-03-05 00:00:00,2019-03-12 00:00:00,,1.0
organic search,Desktop,Food - Snack Mix,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00078686,PROD6655,USER0000008,34.73,CAD 34.73,2022-08-06 00:00:00,2022-06-23 00:00:00,,,,
Direct,Mobile Web,Beauty - Perfume,Europe,Email,EUR,,ORD00089689,PROD3757,USER0000005,47.04,EUR 47.04,2024-04-05 00:00:00,2024-03-27 00:00:00,2024-04-08 00:00:00,2024.04.13,,3.0
Affiliate,Desktop,Toys - LEGO Set,Asia Pacific,Google OAuth,SGD,SG,ORD00054678,PROD5560,USER0000018,124.92,SGD 124.92,2020-11-04 00:00:00,2020-09-08 00:00:00,2020-11-05 00:00:00,2020-11-09 00:00:00,,1.0
Direct,Desktop,Toys - LEGO Set,Asia Pacific,Facebook OAuth,INR,IN,ORD00033685,PROD6383,USER0000002,8300.0,INR 8300.00,2019-12-15 00:00:00,2019-07-25 00:00:00,18-12-2019,2019-12-26 00:00:00,,3.0
Display Ads,Mobile Web,Electronics - Bluetooth Speaker,Asia Pacific,Email,JPY,JP,ORD00049056,PROD8564,USER0000002,30405.79,JPY 30405.79,2020-07-29,2020.06.14,,,,
Direct,Mobile Web,Food - Protein Bar Box,South America,Facebook OAuth,BRL,BR,ORD00085409,PROD7880,USER0000002,148.37,BRL 148.37,06/21/2023,2023-05-30 00:00:00,2023-06-22 00:00:00,2023-06-29 00:00:00,,1.0
Social Media - Instagram,Desktop,Toys - LEGO Set,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,FR,ORD00096652,PROD1589,USER0000002,41.54,EUR 41.54,2025-12-31 00:00:00,2025-12-31 00:00:00,,,,
Organic Search,Desktop,Books - Biography,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,JPY,JP,ORD00019224,PROD6635,USER0000002,3902.87,JPY 3902.87,2019-07-01 00:00:00,2019-07-01 00:00:00,2019-07-03 00:00:00,2019-07-10 00:00:00,,2.0
Direct,Desktop,Fashion - Dress,South America,Email,BRL,BR,ORD00079196,PROD6616,USER0000003,150.6,BRL 150.60,2022-08-26,2022-04-15 00:00:00,2022-08-31 00:00:00,2022-09-06 00:00:00,,5.0
Direct,Mobile Web,Electronics - Wireless Earbuds,Europe,Email,EUR,DE,ORD00020490,PROD6842,USER0000017,224.08,EUR 224.08,2019-07-15 00:00:00,2019-05-16 00:00:00,2019-07-19 00:00:00,2019-07-25 00:00:00,,4.0
  Organic Search  ,Mobile Web,Fashion - Jeans,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00054794,PROD3930,USER0000002,71.37,USD 71.37,2020-11-07 00:00:00,2020-08-25 00:00:00,2020-11-11 00:00:00,2020-11-14 00:00:00,,4.0
Social Media - Facebook,Mobile Web,Electronics - Screen Protector,South America,Google OAuth,BRL,BR,ORD00030480,PROD7159,USER0000003,620.88,BRL 620.88,2019-11-06 00:00:00,2019-11-03 00:00:00,,,,
Paid Search,Desktop,Toys - LEGO Set,Europe,Google OAuth,EUR,NL,ORD00025877,PROD1263,USER0000048,54.17,EUR 54.17,2019-09-12 00:00:00,2019-08-15 00:00:00,,,,
Organic Search,Mobile Web,Fashion - Sunglasses,Europe,Email,EUR,FR,ORD00057239,PROD1881,USER0000002,30.37,EUR 30.37,2020-12-24 00:00:00,11/15/2020,2020-12-26 00:00:00,01-01-2021,,2.0
Email Marketing,Mobile App,Electronics - Smart Watch,<function <lambda> at 0x7eee915b4860>,Phone,USD,US,ORD00049736,PROD4689,USER0000002,91.47,USD 91.47,2020-08-10 00:00:00,2020-02-26 00:00:00,2020-08-13 00:00:00,2020-08-15 00:00:00,,3.0
Organic Search,Desktop,Fashion - Socks,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00049678,PROD3540,USER0000002,47.34,USD 47.34,2020-08-09 00:00:00,2020-07-30 00:00:00,2020-08-10 00:00:00,2020-08-14 00:00:00,,1.0
Organic Search,Mobile App,Books - Sci-Fi Novel,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00098338,PROD6851,USER0000002,47.25,47.25,2025-12-31 00:00:00,2025-10-30 00:00:00,2026-01-01 00:00:00,2026-01-04 00:00:00,,1.0
Social Media-Facebook,Desktop,Books - Self-Help Book,Europe,Google OAuth,EUR,,ORD00032593,PROD4058,USER0000002,25.98,EUR 25.98,12/02/2019,2019-10-27 00:00:00,,,,
Organic Search,Desktop,Fashion - Jeans,Asia Pacific,<function <lambda> at 0x7eee90f8bc40>,AUD,AU,ORD00005776,PROD8889,USER0000002,58.77,AUD 58.77,2019-02-20 00:00:00,2019-02-20 00:00:00,2019-02-27 00:00:00,2019-03-06 00:00:00,,7.0
Social Media - Facebook,Desktop,Fashion - Jeans,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00062027,PROD9800,USER0000002,81.94,USD 81.94,2021-04-04 00:00:00,2020-11-02 00:00:00,2021-04-08 00:00:00,2021-04-15 00:00:00,2021-05-06 00:00:00,4.0
Direct,Desktop,Beauty - Serum,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00038481,PROD6588,USER0000002,37.0,USD 37.00,2020-02-18 00:00:00,2019-11-13 00:00:00,,,,
OrganicSearch,Desktop,Fashion - Hat,South America,Email,BRL,BR,ORD00099093,PROD8869,USER0000002,395.06,BRL 395.06,2025-12-31 00:00:00,2025-11-12 00:00:00,2026-01-04 00:00:00,2026-01-16 00:00:00,,4.0
Direct,Desktop,Beauty - Body Lotion,Europe,Email,EUR,FR,ORD00071202,PROD7360,USER0000003,16.59,EUR 16.59,2021-11-23 00:00:00,2021-09-30 00:00:00,2021-11-24 00:00:00,2021-11-29 00:00:00,2021-12-20 00:00:00,1.0
Social Media - Facebook,Mobile Web,Home - Bed Sheets,Europe,Email,GBP,GB,ORD00085945,,USER0000006,103.35,GBP 103.35,2023-07-24 00:00:00,2023-02-26 00:00:00,2023.07.27,2023-07-30 00:00:00,2023-08-09 00:00:00,3.0
Social Media - Facebook,Desktop,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00038441,PROD8706,USER0000002,174.32,USD 174.32,2020-02-17 00:00:00,2019-12-12 00:00:00,2020-02-18 00:00:00,2020-02-21 00:00:00,,1.0
Organic Search,Desktop,Toys - LEGO Set,South America,<function <lambda> at 0x7eee90f8bc40>,MXN,MX,ORD00008785,PROD6918,USER0000002,680.61,MXN 680.61,2019-03-20 00:00:00,2019-03-20 00:00:00,03/21/2019,2019-03-29 00:00:00,,1.0
Organic Search,Desktop,Electronics - HDMI Cable,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00076673,PROD4338,USER0000009,133.81,USD 133.81,2022-05-22 00:00:00,2022-05-04 00:00:00,2022-05-24 00:00:00,2022-05-27 00:00:00,,2.0
Organic Search,Mobile App,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00010313,PROD5670,USER0000003,132.7,USD 132.70,2019-04-03 00:00:00,03/18/2019,2019-04-12 00:00:00,2019-04-15 00:00:00,,9.0
Display Ads,Desktop,Electronics - Wireless Earbuds,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00040886,PROD9738,USER0000002,96.09,USD 96.09,03/24/2020,2020-03-20 00:00:00,,,,
Social Media - Instagram,Mobile Web,Electronics - Mouse,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00042784,PROD7649,USER0000003,2.5,USD 250.00,2020-04-20 00:00:00,2020-04-20 00:00:00,2020-04-23 00:00:00,2020.04.25,,3.0
Direct,Mobile Web,Sports - Water Bottle,Europe,Email,EUR,FR,ORD00008720,PROD9056,USER0000011,70.97,EUR 70.97,2019-03-19 00:00:00,2019-01-01 00:00:00,2019-03-21 00:00:00,2019-03-29 00:00:00,,2.0
Paid Search,Desktop,Electronics - Webcam,South America,Apple ID,MXN,MX,ORD00019979,PROD2590,USER0000008,1848.52,MXN 1848.52,2019-07-09 00:00:00,2019.02.12,2019-07-12 00:00:00,2019-07-22 00:00:00,,3.0
Affiliate,Mobile App,Home - Towel Set,Europe,Apple ID,EUR,ES,ORD00011571,PROD4183,USER0000018,85.95,EUR 85.95,04/15/2019,2019-03-18 00:00:00,2019-04-16 00:00:00,2019-04-21 00:00:00,2019-05-12 00:00:00,1.0
Direct,Desktop,Electronics - Smart Watch,Asia Pacific,Email,AUD,AU,ORD00012283,PROD9807,USER0000078,221.51,AUD 221.51,2019-04-22 00:00:00,2019-03-08 00:00:00,,,,
Social Media - TikTok,Mobile Web,Beauty - Nail Polish,Asia Pacific,Google OAuth,JPY,JP,ORD00016432,PROD4654,USER0000002,2477.55,JPY 2477.55,2019-06-02 00:00:00,2019.05.09,,,,
Organic Serach,Desktop,Beauty - Serum,Asia Pacific,Google OAuth,JPY,JP,ORD00078011,PROD3766,USER0000012,3138.84,JPY 3138.84,2022.07.11,2021-11-03 00:00:00,2022-07-13 00:00:00,2022-07-19 00:00:00,,2.0
Email Marketing,Mobile Web,Fashion - Jacket,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00066766,PROD9601,USER0000002,97.76,USD 97.76,2021-07-25 00:00:00,2021-05-25 00:00:00,2021-07-27 00:00:00,29-07-2021,,2.0
Direct,Mobile Web,Home - Candle,Europe,Facebook OAuth,GBP,GB,ORD00014150,PROD3571,USER0000003,0.6684,GBP 66.84,2019-05-11 00:00:00,2019-03-07 00:00:00,,,,
Organic Search,Mobile App,Electronics - Keyboard,Asia Pacific,Facebook OAuth,JPY,JP,ORD00014968,PROD7934,USER0000002,34686.72,34687 JPY,2019-05-19 00:00:00,03/20/2019,2019-05-20 00:00:00,2019-05-24 00:00:00,,1.0
Paid Search,Mobile Web,Fashion - Hat,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,DE,ORD00024252,PROD3004,USER0000004,40.29,EUR 40.29,2019-08-24 00:00:00,2019-08-24 00:00:00,2019-08-25 00:00:00,2019-09-01 00:00:00,,1.0
Paid Search,Mobile App,Fashion - Socks,Asia Pacific,Google OAuth,AUD,AU,ORD00013362,PROD6624,USER0000008,182.4,AUD 182.40,2019-05-02,2019-03-30 00:00:00,,,,
Direct,Mobile Web,Electronics - Mouse,Asia Pacific,Email,NZD,NZ,ORD00079926,PROD3181,USER0000002,231.39,NZD 231.39,2022-09-25 00:00:00,2022-06-22 00:00:00,09/27/2022,2022-10-03 00:00:00,,2.0
Organic Search,Mobile Web,Fashion - T-Shirt,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00080946,PROD7825,USER0000034,44.4,44.40,2022-11-10 00:00:00,2022-09-27 00:00:00,,,,
Social Media - Facebook,Desktop,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00061377,PROD1207,USER0000004,102.42,USD 102.42,2021-03-21 00:00:00,2021-03-17 00:00:00,2021-03-23 00:00:00,2021-03-28 00:00:00,,2.0
Social Media - Facebook,Mobile Web,  Sports - Resistance Bands  ,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,DE,ORD00003343,PROD8619,USER0000003,108.75,EUR 108.75,2019-01-30 00:00:00,2019-01-30 00:00:00,2019-02-01 00:00:00,2019.02.04,,2.0
OrganicSearch,Mobile Web,Home - Curtains,Europe,Apple ID,EUR,NL,ORD00054160,PROD2704,USER0004142,28.63,EUR 28.63,2020-10-26 00:00:00,09/20/2020,2020-10-28 00:00:00,2020-11-02 00:00:00,,2.0
Email Marketing,Desktop,Electronics - Screen Protector,Asia Pacific,Email,INR,IN,ORD00014520,PROD1633,USER0000002,20750.0,INR 20750.00,14-05-2019,2019.01.01,05/16/2019,2019-05-22 00:00:00,,2.0
Social Media - Pinterest,Mobile Web,Electronics - Laptop Stand,Europe,Email,GBP,GB,ORD00065416,PROD7677,USER0000002,84.24,GBP 84.24,2021-06-22 00:00:00,2021-04-24 00:00:00,2021-06-23 00:00:00,2021-06-28 00:00:00,,1.0
Social Media - Instagram,Desktop,Books - Biography,  Middle East  ,Email,AED,AE,ORD00029917,PROD4546,USER0000002,118.02,AED 118.02,2019-10-29 00:00:00,2019-09-18 00:00:00,,,,
Organic Search,Desktop,Electronics - Portable Charger,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00044805,PROD6716,USER0000002,102.09,USD 102.09,2020.05.21,2020-01-29 00:00:00,23-05-2020,2020-05-26 00:00:00,,2.0
Other,Mobile Web,Food - Coffee Beans,<function <lambda> at 0x7eee915b4860>,Email,CAD,CA,ORD00098947,PROD6148,USER0001277,55.03,CAD 55.03,2025.12.31,2025-10-30 00:00:00,2026-01-04 00:00:00,07-01-2026,,4.0
Social Media - Facebook,Mobile App,Sports - Yoga Mat,Middle East,Google OAuth,SAR,SA,ORD00093248,PROD8041,USER0000009,668.35,SAR 668.35,2025-03-29 00:00:00,01/25/2025,2025-04-03 00:00:00,2025-04-13 00:00:00,,5.0
Organic Search,Mobile App,Beauty - Eye Shadow Palette,Asia Pacific,Phone,AUD,AU,ORD00003072,PROD6828,USER0000138,47.64,AUD 47.64,2019.01.27,2019-01-01 00:00:00,,,,
Direct,Mobile Web,Electronics - Keyboard,Europe,Google OAuth,EUR,IT,ORD00075138,PROD6055,USER0000006,186.56,EUR 186.56,2022-03-30 00:00:00,2022-03-06 00:00:00,,,,
Email Mrkting,Mobile Web,Beauty - Shampoo,Europe,<function <lambda> at 0x7eee90f8bc40>,EUR,NL,ORD00047433,PROD1704,USER0000002,36.21,EUR 36.21,2020-07-02 00:00:00,2020-07-02 00:00:00,,,,
Social Media - Facebook,Desktop,Beauty - Eye Shadow Palette,South America,Email,MXN,MX,ORD00036324,PROD1324,USER0000009,1301.01,MXN 1301.01,2020-01-18 00:00:00,13-01-2020,2020-01-21 00:00:00,2020-01-26 00:00:00,,3.0
Email Marketing,Desktop,Beauty - Eye Shadow Palette,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00066775,PROD9745,USER0000004,42.31,USD 42.31,2021-07-25 00:00:00,2021-07-13 00:00:00,2021-07-27 00:00:00,2021-07-30 00:00:00,2021-08-01 00:00:00,2.0
Organic Search,Mobile Web,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00012795,PROD3675,USER0000015,142.08,USD 142.08,2019-04-27 00:00:00,2019-03-20 00:00:00,2019-04-30 00:00:00,2019-05-03 00:00:00,,3.0
Direct,Mobile Web,Food - Tea Set,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00099851,PROD9590,USER0004524,47.36,USD 47.36,12/31/2025,2025-05-12 00:00:00,2026-01-02 00:00:00,2026-01-05 00:00:00,,2.0
Email Marketing,Mobile Web,Sports - Yoga Mat,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00004155,PROD6379,USER0000002,89.7,USD 89.70,2019-02-06 00:00:00,2019.01.07,2019-02-09 00:00:00,02/13/2019,,3.0
Organic Search,Mobile Web,Food - Coffee Beans,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,CAD,CA,ORD00077500,PROD1862,USER0000009,55.59,CAD 36.64,2022-06-22 00:00:00,2022-05-05 00:00:00,2022-06-24 00:00:00,2022-06-28 00:00:00,,2.0
Social Media - Facebook,Desktop,Fashion - Jacket,Europe,Apple ID,EUR,IT,ORD00064716,PROD6694,USER0000002,63.72,EUR 63.72,2021-06-05 00:00:00,2021-04-24 00:00:00,,,2021-06-21 00:00:00,
Direct,Mobile App,Home - Towel Set,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00040552,PROD4000,USER0000073,110.92,USD 110.92,2020.03.19,2020-01-30 00:00:00,2020-03-22 00:00:00,2020-03-26 00:00:00,,3.0
Direct,Mobile Web,Home - Curtains,Middle East,Google OAuth,AED,AE,ORD00023530,PROD3305,USER0000002,468.34,AED 468.34,2019-08-17 00:00:00,2019-06-24 00:00:00,2019-08-19 00:00:00,2019-08-27 00:00:00,2019-08-28 00:00:00,2.0
Social Media - Instagram,Desktop,Fashion - Jacket,<function <lambda> at 0x7eee915b4860>,Apple ID,USD,US,ORD00018843,PROD3910,USER0000004,77.72,USD 77.72,2019-06-27 00:00:00,2019-06-01 00:00:00,,,,
Direct,Mobile App,Electronics - Bluetooth Speaker,Europe,Email,EUR,DE,ORD00054595,PROD3343,USER0000007,118.67,EUR 118.67,2020-11-03 00:00:00,2020-09-19 00:00:00,,,,
Direct,Desktop,Electronics - Mouse,  <function <lambda> at 0x7eee915b4860>  ,Google OAuth,USD,,ORD00007181,PROD1894,USER0000002,122.93,123 USD,2019-03-05 00:00:00,01/20/2019,2019.03.15,2019-03-18 00:00:00,,10.0
Organic Search,Mobile App,Books - Sci-Fi Novel,South America,Email,BRL,BR,ORD00072272,PROD7348,USER0000013,92.98,BRL 92.98,2021-12-25 00:00:00,04/29/2021,2021-12-28 00:00:00,2022-01-05 00:00:00,,3.0
Direct,Mobile Web,Home - Towel Set,<function <lambda> at 0x7eee915b4860>,<function <lambda> at 0x7eee90f8bc40>,USD,US,ORD00011763,PROD7969,USER0006715,55.28,USD 55.28,2019-04-17 00:00:00,04/17/2019,2019-04-20 00:00:00,2019-04-23 00:00:00,,3.0
Social Media - Instagram,Mobile Web,Home - Bed Sheets,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00072851,PROD2427,USER0000002,150.0,USD 150.00,2022-01-12,2021-10-12 00:00:00,2022-01-14 00:00:00,2022-01-18 00:00:00,,2.0
Direct,Desktop,Electronics - Webcam,Europe,Email,EUR,ES,ORD00057527,PROD3731,USER0000002,230.0,EUR 230.00,2020-12-29 00:00:00,2020-12-24 00:00:00,2021-01-05 00:00:00,2021-01-12 00:00:00,,7.0
Organic Search,Desktop,Home - Picture Frame,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00054012,PROD2214,USER0000002,40.97,USD 40.97,2020-10-23 00:00:00,2020-07-18 00:00:00,2020-10-24 00:00:00,2020-10-29 00:00:00,,1.0
Other,Desktop,Home - Candle,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00056016,PROD7203,USER0000003,110.15,USD 110.15,2020-11-30,2020-06-18 00:00:00,2020-12-02 00:00:00,2020-12-04 00:00:00,,2.0
Display Ads,Mobile Web,Fashion - Jacket,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00071694,PROD3335,USER0000004,58.21,USD 58.21,2021-12-08 00:00:00,2021-12-07 00:00:00,2021-12-11 00:00:00,2021-12-17 00:00:00,,3.0
Display Ads,Mobile Web,Electronics - Webcam,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00072001,PROD5285,USER0000205,192.81,USD 192.81,2021-12-17 00:00:00,2021-12-11 00:00:00,2021-12-22 00:00:00,2021-12-26 00:00:00,,5.0
Direct,Desktop,Electronics - Wireless Earbuds,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00087078,PROD6311,USER0000009,97.56,USD 97.56,2023-10-01,2023-08-11 00:00:00,2023-10-04 00:00:00,2023-10-10 00:00:00,,3.0
Display Ads,Mobile Web,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00044800,PROD2930,USER0000028,250.0,USD 250.00,2020-05-21 00:00:00,2020-04-05 00:00:00,,,,
Paid Search,Mobile App,Books - Cookbook,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00069432,PROD4759,USER0000002,,,2021-10-04 00:00:00,2021-07-29 00:00:00,2021-10-06 00:00:00,2021-10-10 00:00:00,,2.0
Social Media - Instagram,Mobile Web,Beauty - Serum,South America,Email,ARS,AR,ORD00095923,PROD5942,USER0000005,18912.54,ARS 18912.54,2025-12-31 00:00:00,2025-10-14 00:00:00,2026-01-03 00:00:00,2026-01-08 00:00:00,,3.0
Paid Search,Mobile Web,Sports - Fitness Tracker,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00085796,PROD3001,USER0000246,106.24,CAD 106.24,15-07-2023,2023-07-10 00:00:00,2023-07-24 00:00:00,07/27/2023,,9.0
Social Media - Facebook,Mobile Web,Fashion - Backpack,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00094809,PROD3797,USER0000005,81.89,USD 81.89,2025-11-05 00:00:00,2025-10-08 00:00:00,2025-11-09 00:00:00,2025-11-12 00:00:00,2025-11-14 00:00:00,4.0
Organic Search,Mobile Web,Beauty - Face Mask,<function <lambda> at 0x7eee915b4860>,Facebook OAuth,USD,US,ORD00042308,PROD5610,USER0000004,35.7,USD 35.70,2020-04-13 00:00:00,2020-03-23 00:00:00,,,,
organic search,Mobile App,Electronics - Keyboard,<function <lambda> at 0x7eee915b4860>,Google OAuth,USD,US,ORD00011531,PROD5754,USER0000016,250.0,USD 250.00,2019-04-14,2019-01-01 00:00:00,2019-04-15 00:00:00,2019-04-17 00:00:00,,1.0
Display Ads,Desktop,Fashion - Socks,Europe,Email,EUR,FR,ORD00021130,PROD9855,USER0000023,27.36,EUR 27.36,2019-07-22,2019-06-06 00:00:00,2019-07-24 00:00:00,2019-07-28 00:00:00,,2.0
Organic Search,Mobile Web,Electronics - Bluetooth Speaker,<function <lambda> at 0x7eee915b4860>,Phone,USD,US,ORD00055971,PROD4420,USER0000003,110.15,USD 110.15,2020-11-29 00:00:00,2020-11-07 00:00:00,2020-12-01 00:00:00,2020-12-03 00:00:00,,2.0
Paid Search,Desktop,Home - Throw Pillow,Middle East,Google OAuth,AED,AE,ORD00034232,PROD4044,USER0000002,141.58,AED 141.58,2019-12-22 00:00:00,2019-10-15 00:00:00,2019-12-23 00:00:00,2020-01-04 00:00:00,,1.0
Direct,Mobile Web,Toys - Doll,South America,Email,BRL,,ORD00079104,PROD5768,USER0000002,359.07,BRL 359.07,2022-08-22 00:00:00,2022-06-25 00:00:00,2022-08-25 00:00:00,2022-09-01 00:00:00,,3.0
Social Media - TikTok,Mobile App,Fashion - Sunglasses,Asia Pacific,Apple ID,AUD,AU,ORD00098624,PROD5174,USER0000003,176.43,AUD 176.43,2025-12-31 00:00:00,2025-12-26 00:00:00,2026-01-03 00:00:00,2026-01-11 00:00:00,,3.0
Social Media - Facebook,Desktop,Beauty - Serum,Asia Pacific,Google OAuth,JPY,JP,ORD00064707,PROD5599,USER0000041,6470.09,JPY 6470.09,2021-06-05 00:00:00,2021-05-16 00:00:00,,,2021-06-21 00:00:00,
Social Media - Pinterest,Mobile Web,Fashion - Hoodie,<function <lambda> at 0x7eee915b4860>,Google OAuth,CAD,CA,ORD00047841,PROD7016,USER0000002,50.4,CAD 50.40,08-07-2020,2020-06-06 00:00:00,2020-07-10 00:00:00,2020-07-13 00:00:00,,2.0
Email Marketing,Mobile Web,Home - Curtains,Europe,Email,EUR,ES,ORD00007992,PROD1546,USER0000003,138.0,EUR 138.00,2019.03.12,2019-01-24 00:00:00,2019-03-18 00:00:00,2019-03-24 00:00:00,,6.0
Paid Search,Mobile App,Home - Coffee Maker,<function <lambda> at 0x7eee915b4860>,Phone,CAD,CA,ORD00089974,PROD8368,USER0000007,107.57,CAD 107.57,2024-04-28 00:00:00,2024-02-18 00:00:00,2024-05-04 00:00:00,07-05-2024,,6.0
Paid Search,Mobile Web,Fashion - Jeans,<function <lambda> at 0x7eee915b4860>,Email,USD,US,ORD00044637,PROD4725,USER0000005,79.82,USD 79.82,2020-05-19 00:00:00,28-04-2020,,,,
Email Marketing,Desktop,Electronics - Screen Protector,Asia Pacific,Google OAuth,JPY,JP,ORD00003032,PROD3141,USER0000014,8378.3,JPY 8378.30,2019-01-27 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-02-06 00:00:00,,5.0
Social Media - Facebook,Mobile Web,Home - Throw Pillow,Europe,Email,EUR,FR,ORD00054835,PROD7857,USER0000064,72.21,EUR 72.21,2020-11-07 00:00:00,2020-10-23 00:00:00,2020-11-12 00:00:00,2020-11-17 00:00:00,,5.0
